Energy (eV),IsoM5,IsoM16,IsoS5,IsoS16
1.850510343,98.19358826,98.71495819,97.54927063,97.57288361
1.853276428,98.1812439,98.7264328,97.54127502,97.57837677
1.856050794,98.20967102,98.74407959,97.55436707,97.56332397
1.858833478,98.20560455,98.72850037,97.56352234,97.57673645
1.86162452,98.22770691,98.74200439,97.54350281,97.56502533
1.864423955,98.2256012,98.73298645,97.53513336,97.55801392
1.867231822,98.24827576,98.76628113,97.55348206,97.56996155
1.87004816,98.23246002,98.76287079,97.53309631,97.56156921
1.872873006,98.22994232,98.7347641,97.52057648,97.55289459
1.8757064,98.25572968,98.76893616,97.533638,97.55308533
1.878548379,98.26530457,98.78701782,97.5411377,97.57307434
1.881398983,98.29544067,98.77311707,97.53605652,97.56716156
1.884258252,98.28709412,98.79429626,97.53034973,97.5632019
1.887126225,98.28974152,98.78598022,97.53222656,97.56171417
1.890002942,98.28007507,98.79058838,97.53081512,97.53969574
1.892888443,98.30203247,98.81687927,97.51547241,97.55236816
1.895782768,98.33618164,98.82450867,97.53495789,97.56367493
1.898685957,98.31848145,98.78600311,97.51277161,97.55101776
1.901598052,98.33023071,98.80704498,97.52844238,97.54535675
1.904519094,98.35686493,98.82118988,97.51514435,97.54017639
1.907449123,98.34603119,98.82563019,97.52602386,97.53279877
1.910388182,98.35733032,98.81050873,97.50856018,97.51926422
1.913336312,98.36914825,98.83248901,97.50440979,97.52791595
1.916293555,98.37457275,98.84608459,97.5116272,97.52576447
1.919259954,98.38245392,98.83764648,97.49797058,97.50428009
1.922235551,98.36649323,98.83708191,97.4858017,97.48792267
1.925220388,98.39983368,98.83975983,97.48594666,97.4944458
1.92821451,98.39714813,98.85716248,97.49034882,97.4923172
1.93121796,98.41711426,98.86223602,97.48542023,97.49861145
1.93423078,98.42495728,98.87129974,97.47187805,97.48959351
1.937253016,98.42308044,98.8491745,97.45912933,97.48455048
1.940284711,98.43675995,98.86309814,97.46751404,97.49000549
1.943325909,98.43505096,98.87091064,97.46115112,97.47512817
1.946376656,98.43291473,98.87323761,97.44529724,97.47756958
1.949436997,98.47133636,98.89255524,97.46024323,97.47924805
1.952506977,98.42551422,98.88277435,97.42806244,97.45018768
1.955586641,98.46776581,98.90336609,97.4417038,97.47465515
1.958676035,98.46359253,98.8980484,97.41928864,97.45866394
1.961775206,98.46659851,98.89186859,97.42059326,97.44906616
1.9648842,98.48203278,98.91336823,97.42185211,97.44880676
1.968003064,98.47058105,98.90573883,97.41107941,97.44198608
1.971131844,98.49565887,98.90606689,97.40062714,97.42581177
1.974270589,98.49416351,98.92015076,97.39952087,97.41212463
1.977419346,98.49488068,98.92042542,97.38811493,97.42144012
1.980578163,98.50405884,98.92404938,97.37490845,97.41598511
1.983747088,98.51721191,98.92233276,97.38084412,97.40390015
1.98692617,98.52593231,98.94042969,97.36724854,97.41190338
1.990115458,98.53282928,98.94168091,97.36296082,97.39116669
1.993315,98.53288269,98.93923187,97.34033203,97.37841797
1.996524847,98.54675293,98.945755,97.34439087,97.3627243
1.999745049,98.54316711,98.96233368,97.34937286,97.35948181
2.002975654,98.56026459,98.96305847,97.32380676,97.36419678
2.006216715,98.56506348,98.97083282,97.32800293,97.34736633
2.009468282,98.56626892,98.97422791,97.31509399,97.33425903
2.012730406,98.58122253,98.96868896,97.30162048,97.33542633
2.016003138,98.58236694,98.97609711,97.27941132,97.30428314
2.019286531,98.59090424,98.98194122,97.28282928,97.3052063
2.022580636,98.5963974,98.99105072,97.26929474,97.30641174
2.025885507,98.60959625,98.99216461,97.26042175,97.28649139
2.029201195,98.61264038,98.98282623,97.23103333,97.24291229
2.032527754,98.61715698,98.98922729,97.21707153,97.24712372
2.035865238,98.62866211,99.00244141,97.20160675,97.22732544
2.039213701,98.6521225,99.01950073,97.21435547,97.23068237
2.042573196,98.61649323,99.00441742,97.16365814,97.18004608
2.045943779,98.62201691,99.01232147,97.15232086,97.16377258
2.049325504,98.64257813,99.00762177,97.13160706,97.14968109
2.052718427,98.64849091,99.0087204,97.12056732,97.14115143
2.056122604,98.62303925,99.00366974,97.1352005,97.1554184
2.05953809,98.65091705,99.02487183,97.092453,97.10469818
2.062964942,98.67279053,99.04096985,97.0788269,97.0956955
2.066403217,98.67775726,99.02816772,97.06179047,97.07416534
2.069852972,98.6836319,99.04092407,97.04421997,97.05455017
2.073314264,98.68184662,99.02881622,97.01490784,97.02896881
2.076787153,98.68270111,99.04044342,97.0127182,97.03676605
2.080271695,98.69552612,99.04039001,96.99953461,97.00880432
2.08376795,98.69309998,99.0506897,96.99280548,97.01091766
2.087275977,98.70876312,99.05678558,96.99002838,96.98886871
2.090795835,98.7157135,99.05944824,96.95972443,96.9655838
2.094327585,98.72111511,99.06460571,96.95935059,96.9627533
2.097871286,98.71604919,99.05440521,96.93645477,96.95036316
2.101427,98.71759033,99.06352997,96.93102264,96.92902374
2.104994788,98.71988678,99.07494354,96.91888428,96.923172
2.108574711,98.74037933,99.08491516,96.9884491,96.98531342
2.112166832,98.74252319,99.09600067,96.9080658,96.90389252
2.115771212,98.74743652,99.09134674,96.8884964,96.89452362
2.119387915,98.74282074,99.08852386,96.8695755,96.86819458
2.123017004,98.73708344,99.08685303,96.83825684,96.84506989
2.126658542,98.83667755,99.19195557,96.93257904,96.93478394
2.130312595,98.75250244,99.10385132,96.81700134,96.82408905
2.133979226,98.75770569,99.11430359,96.82270813,96.80392456
2.1376585,98.7620163,99.09996033,96.76839447,96.78028107
2.141350484,98.76554871,99.10758209,96.76465607,96.7589035
2.145055242,98.78333282,99.12921906,96.74397278,96.75263214
2.148772842,98.76686096,99.10740662,96.710495,96.71723938
2.152503351,98.77799988,99.11932373,96.69940186,96.69747162
2.156246835,98.81517792,99.15942383,96.7028656,96.70067596
2.160003363,98.79551697,99.13636017,96.66768646,96.65753937
2.163773002,98.79296112,99.13105774,96.62958527,96.62678528
2.167555822,98.79859924,99.13211823,96.61862946,96.59522247
2.171351892,98.79318237,99.12464905,96.58305359,96.58096313
2.175161281,98.81316376,99.13724518,96.56079102,96.55336761
2.17898406,98.7743988,99.11530304,96.52557373,96.51464844
2.182820299,98.81063843,99.14321899,96.53232574,96.51515961
2.186670071,98.81358337,99.13352203,96.49900055,96.47705078
2.190533445,98.80827332,99.11739349,96.48043823,96.44303131
2.194410496,98.8086319,99.14685822,96.45249939,96.43460846
2.198301294,98.7950592,99.1232605,96.44412994,96.41442871
2.202205915,98.81394196,99.14053345,96.43792725,96.39690399
2.206124431,98.82792664,99.14442444,96.43527985,96.39917755
2.210056916,98.83813477,99.14681244,96.40725708,96.37392426
2.214003447,98.83573914,99.15678406,96.39566803,96.36235046
2.217964097,98.85625458,99.16671753,96.41530609,96.38827515
2.221938943,98.83877563,99.15101624,96.39051819,96.35594177
2.225928061,98.84664917,99.14949799,96.3922348,96.33862305
2.229931529,98.85188293,99.15769958,96.38184357,96.34801483
2.233949424,98.85288239,99.17604065,96.3837204,96.35922241
2.237981823,98.85407257,99.15918732,96.36572266,96.33409119
2.242028807,98.81376648,99.12216949,96.34297943,96.32334137
2.246090453,98.87224579,99.18835449,96.40027618,96.3736496
2.250166842,98.85061646,99.16087341,96.37078857,96.34843445
2.254258055,98.88317108,99.17882538,96.36858368,96.35528564
2.258364171,98.87754059,99.17446899,96.38286591,96.35742188
2.262485274,98.87802124,99.18080902,96.37900543,96.34985352
2.266621444,98.8591156,99.18286896,96.34498596,96.33935547
2.270772766,98.87627411,99.1653595,96.34900665,96.34416962
2.274939321,98.87497711,99.19306946,96.34064484,96.33469391
2.279121195,98.88115692,99.1858139,96.32564545,96.32106018
2.283318472,98.88824463,99.17086792,96.31459045,96.30753326
2.287531236,98.88541412,99.18622589,96.30975342,96.29075623
2.291759575,98.87728882,99.17734528,96.28914642,96.26727295
2.296003574,98.87506104,99.18585968,96.28076172,96.23854828
2.300263321,98.8975296,99.19045258,96.27581787,96.24584961
2.304538904,98.89687347,99.17909241,96.24725342,96.24024963
2.30883041,98.89182281,99.19446564,96.24141693,96.20256042
2.313137929,98.89080048,99.1989212,96.22309113,96.18793488
2.317461552,98.88767242,99.17995453,96.19992828,96.16736603
2.321801367,98.87636566,99.18685913,96.17882538,96.13514709
2.326157467,98.89356232,99.19459534,96.16078186,96.13513947
