Energy (eV),NI old
1.974270589,0.65315032
1.977419346,0.653769791
1.980578163,0.654384434
1.983747088,0.655144095
1.98692617,0.655774236
1.990115458,0.656710565
1.993315,0.657577336
1.996524847,0.658539176
1.999745049,0.659936309
2.002975654,0.661197901
2.006216715,0.662201166
2.009468282,0.66366595
2.012730406,0.665190697
2.016003138,0.666717827
2.019286531,0.667964399
2.022580636,0.669177473
2.025885507,0.6707322
2.029201195,0.671729922
2.032527754,0.673102438
2.035865238,0.674392402
2.039213701,0.675579548
2.042573196,0.676903307
2.045943779,0.678118408
2.049325504,0.679202795
2.052718427,0.680593312
2.056122604,0.681470633
2.05953809,0.682664573
2.062964942,0.68339026
2.066403217,0.684251785
2.069852972,0.684820771
2.073314264,0.685348392
2.076787153,0.686279535
2.080271695,0.686793566
2.08376795,0.687038183
2.087275977,0.68809998
2.090795835,0.688128829
2.094327585,0.688486576
2.097871286,0.689402819
2.101427,0.68915689
2.104994788,0.6898157
2.108574711,0.690304041
2.112166832,0.690905571
2.115771212,0.691500306
2.119387915,0.692144871
2.123017004,0.693338573
2.126658542,0.69409579
2.130312595,0.695086539
2.133979226,0.696498871
2.1376585,0.697112203
2.141350484,0.698385716
2.145055242,0.699648082
2.148772842,0.701255202
2.152503351,0.702512264
2.156246835,0.704134524
2.160003363,0.705517888
2.163773002,0.707383096
2.167555822,0.70884788
2.171351892,0.710346103
2.175161281,0.711455286
2.17898406,0.712940276
2.182820299,0.713873982
2.186670071,0.714975536
2.190533445,0.715756893
2.194410496,0.716862738
2.198301294,0.717278957
2.202205915,0.717600346
2.206124431,0.717582703
2.210056916,0.718049824
2.214003447,0.717999637
2.217964097,0.717929304
2.221938943,0.718034089
2.225928061,0.717552066
2.229931529,0.716920614
2.233949424,0.716177523
2.237981823,0.71494776
2.242028807,0.713980734
2.246090453,0.712951362
2.250166842,0.71145922
2.254258055,0.710687161
2.258364171,0.709031105
2.262485274,0.708496153
2.266621444,0.707240522
2.270772766,0.706202269
2.274939321,0.705307186
2.279121195,0.70467335
2.283318472,0.704144239
2.287531236,0.703646362
2.291759575,0.703270435
2.296003574,0.703479409
2.300263321,0.703708053
2.304538904,0.704137862
2.30883041,0.70471257
2.313137929,0.704929888
2.317461552,0.706123769
2.321801367,0.707391322
2.326157467,0.708230496
2.330529944,0.710140944
2.334918889,0.712000072
2.339324396,0.71348995
2.34374656,0.715478838
2.348185474,0.717495918
2.352641234,0.720094204
2.357113936,0.722586691
2.361603676,0.725183725
2.366110554,0.727765977
2.370634666,0.730598271
2.375176111,0.73348552
2.379734991,0.736034036
2.384311404,0.739350081
2.388905453,0.741634309
2.39351724,0.744266808
2.398146867,0.746821702
2.402794438,0.749577761
2.407460058,0.751576364
2.412143833,0.753701568
2.416845868,0.755779564
2.42156627,0.757086515
2.426305147,0.758292019
2.431062608,0.759500265
2.435838762,0.759945393
2.440633721,0.760217905
2.445447594,0.759974539
2.450280494,0.759209812
2.455132535,0.759015858
2.46000383,0.757810712
2.464894493,0.756781101
2.469804642,0.755605161
2.474734391,0.754383564
2.47968386,0.752944291
2.484653167,0.75160259
2.48964243,0.750808716
2.494651771,0.749253392
2.499681311,0.748904705
2.504731172,0.748372734
2.509801478,0.748153567
2.514892353,0.74779433
2.520003923,0.747681558
2.525136314,0.748402476
2.530289653,0.7487607
2.53546407,0.749614656
2.540659693,0.750227749
2.545876653,0.751279891
2.551115082,0.752844691
2.556375114,0.754241884
2.56165688,0.755868793
2.566960518,0.757652104
2.572286162,0.759263456
2.57763395,0.761004806
2.583004021,0.76333487
2.588396514,0.764995217
2.593811569,0.767729998
2.599249329,0.769620895
2.604709937,0.772384346
2.610193537,0.774539769
2.615700274,0.776852906
2.621230296,0.779321373
2.62678375,0.781550646
2.632360786,0.784147024
2.637961553,0.786803901
2.643586205,0.789403498
2.649234893,0.791718423
2.654907773,0.794108331
2.660605,0.797087967
2.666326731,0.799414992
2.672073125,0.80171746
2.677844341,0.803590238
2.683640541,0.805836082
2.689461887,0.808383405
2.695308544,0.810504198
2.701180676,0.812708557
2.70707845,0.813945353
2.713002035,0.815745413
2.718951601,0.817434311
2.724927319,0.819565594
2.730929361,0.821046948
2.736957903,0.822444201
2.74301312,0.824013948
2.749095189,0.825214207
2.755204289,0.826234996
2.761340602,0.827754974
2.767504308,0.829203904
2.773695593,0.830387235
2.779914641,0.831278682
2.786161641,0.832767069
2.792436779,0.834097505
2.798740249,0.835952878
2.80507224,0.837434709
2.811432948,0.839079559
2.817822568,0.841341674
2.824241299,0.843173564
2.830689338,0.845776081
2.837166888,0.849230051
2.843674152,0.851638794
2.850211334,0.855051398
2.856778641,0.858442366
2.863376282,0.862313867
2.870004468,0.866257787
2.876663411,0.869959235
2.883353326,0.874329567
2.890074429,0.878423333
2.896826939,0.883373976
2.903611077,0.887715936
2.910427066,0.892063737
2.91727513,0.897023201
2.924155496,0.901419342
2.931068393,0.906287789
2.938014052,0.910839081
2.944992708,0.915399551
2.952004595,0.92039901
2.959049952,0.924220204
2.966129019,0.928463399
2.973242039,0.932530582
2.980389255,0.935646653
2.987570916,0.939543128
2.994787271,0.941225052
3.002038572,0.94358474
3.009325073,0.945589244
3.016647032,0.94692415
3.024004708,0.948600709
3.031398362,0.948693395
3.03882826,0.950254083
3.046294669,0.951273739
3.053797857,0.953523576
3.061338099,0.95473814
3.068915669,0.95728749
3.076530844,0.960328817
3.084183906,0.963357508
3.091875137,0.967342556
3.099604825,0.97201848
